lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 56, Time: 64.879, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 56, Time: 16.236, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 56, Time: 16.836, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 56, Time: 16.718, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 12, Time: 4.463, Coverage: 0.774 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 56, Time: 16.605, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 3, Runner 0, -- #Subdomain: 1, Time: 1.532, Coverage: 1.000 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 56, Time: 16.805, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 2, Runner 0, -- #Subdomain: 737, Time: 213.259, Coverage: 0.750 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 56, Time: 16.624, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 12, Time: 4.501, Coverage: 0.774 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 12, Time: 4.517, Coverage: 0.774 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 85, Time: 24.695, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 2, Runner 0, -- #Subdomain: 35, Time: 10.833, Coverage: 0.755 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 56, Time: 16.700, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 3, Runner 0, -- #Subdomain: 1, Time: 1.539, Coverage: 1.000 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 18, Time: 6.301, Coverage: 0.754 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 56, Time: 16.519, Coverage: 0.751 
lunarlander, Over False, Under True, Spec 1, Runner 0, -- #Subdomain: 85, Time: 24.611, Coverage: 0.751 
